iter	Passed	Remaining
0	10	10527
1	13	6591
2	15	5063
3	17	4469
4	28	5763
5	42	7108
6	60	8543
7	62	7805
8	78	8650
9	93	9248
10	95	8622
11	108	8934
12	128	9779
13	131	9253
14	144	9483
15	147	9041
16	149	8658
17	152	8316
18	155	8010
19	157	7734
20	159	7435
21	162	7215
22	165	7009
23	167	6823
24	171	6694
25	174	6536
26	177	6394
27	180	6251
28	182	6123
29	190	6148
30	205	6433
31	209	6328
32	212	6217
33	215	6112
34	217	6007
35	220	5904
36	223	5814
37	227	5771
38	230	5689
39	245	5886
40	248	5802
41	251	5726
42	260	5807
43	273	5943
44	290	6166
45	309	6421
46	312	6340
47	315	6254
48	326	6332
49	329	6264
50	332	6192
51	335	6123
52	342	6116
53	345	6059
54	356	6123
55	359	6063
56	362	5998
57	365	5937
58	371	5928
59	375	5876
60	388	5980
61	391	5924
62	394	5868
63	404	5908
64	423	6098
65	427	6043
66	430	5990
67	433	5935
68	436	5888
69	469	6234
70	472	6180
71	475	6127
72	478	6074
73	480	6017
74	484	5969
75	487	5921
76	490	5878
77	493	5835
78	496	5793
79	500	5756
80	504	5718
81	509	5698
82	512	5656
83	515	5621
84	518	5584
85	523	5562
86	528	5547
87	541	5613
88	545	5585
89	549	5552
90	553	5533
91	557	5501
92	561	5472
93	564	5443
94	568	5415
95	572	5388
96	576	5362
97	579	5334
98	599	5456
99	605	5452
100	609	5422
101	613	5400
102	616	5372
103	621	5352
104	625	5327
105	629	5308
106	637	5319
107	641	5296
108	644	5269
109	647	5241
110	651	5215
111	667	5292
112	682	5359
113	692	5378
114	701	5395
115	709	5403
116	715	5398
117	719	5380
118	730	5408
119	746	5473
120	762	5539
121	765	5507
122	778	5548
123	780	5516
124	784	5488
125	794	5508
126	797	5480
127	804	5482
128	807	5454
129	810	5426
130	814	5400
131	817	5372
132	820	5347
133	823	5322
134	826	5298
135	835	5309
136	838	5285
137	851	5316
138	854	5292
139	857	5268
140	861	5245
141	864	5221
142	867	5198
143	870	5176
144	874	5154
145	877	5133
146	884	5130
147	899	5178
148	902	5154
149	905	5130
150	917	5160
151	932	5203
152	948	5248
153	967	5315
154	982	5358
155	986	5335
156	989	5310
157	992	5286
158	995	5263
159	998	5242
160	1001	5216
161	1014	5249
162	1017	5225
163	1020	5204
164	1024	5183
165	1030	5174
166	1045	5216
167	1048	5193
168	1051	5171
169	1054	5149
170	1063	5156
171	1066	5134
172	1079	5159
173	1082	5137
174	1085	5116
175	1094	5122
176	1097	5102
177	1100	5083
178	1104	5063
179	1109	5053
180	1112	5033
181	1116	5016
182	1125	5025
183	1129	5008
184	1132	4990
185	1139	4985
186	1142	4966
187	1145	4949
188	1149	4932
189	1153	4916
190	1170	4958
191	1186	4992
192	1202	5026
193	1204	5004
194	1217	5025
195	1233	5058
196	1249	5091
197	1280	5187
198	1283	5166
199	1296	5185
200	1298	5163
201	1301	5141
202	1310	5147
203	1326	5176
204	1341	5202
205	1344	5182
206	1357	5201
207	1360	5181
208	1372	5194
209	1387	5220
210	1403	5247
211	1418	5273
212	1434	5298
213	1449	5324
214	1452	5304
215	1455	5283
216	1458	5261
217	1480	5311
218	1483	5290
219	1495	5303
220	1499	5284
221	1502	5265
222	1511	5265
223	1514	5245
224	1526	5257
225	1542	5281
226	1546	5267
227	1550	5248
228	1553	5231
229	1556	5211
230	1575	5243
231	1578	5224
232	1581	5205
233	1593	5215
234	1608	5235
235	1622	5253
236	1638	5275
237	1641	5255
238	1658	5279
239	1660	5258
240	1673	5269
241	1688	5287
242	1691	5268
243	1694	5249
244	1708	5264
245	1710	5243
246	1724	5257
247	1727	5237
248	1739	5246
249	1754	5264
250	1769	5280
251	1772	5260
252	1790	5288
253	1793	5268
254	1805	5274
255	1821	5293
256	1835	5306
257	1850	5322
258	1866	5338
259	1868	5318
260	1881	5328
261	1897	5346
262	1900	5325
263	1902	5304
264	1904	5282
265	1907	5263
266	1910	5243
267	1912	5224
268	1927	5238
269	1930	5220
270	1933	5201
271	1936	5183
272	1940	5167
273	1943	5149
274	1946	5131
275	1949	5113
276	1958	5112
277	1961	5095
278	1963	5074
279	1966	5056
280	2005	5130
281	2009	5115
282	2050	5195
283	2054	5179
284	2066	5184
285	2070	5168
286	2082	5173
287	2114	5228
288	2131	5243
289	2134	5226
290	2138	5210
291	2141	5193
292	2145	5177
293	2148	5159
294	2152	5144
295	2161	5141
296	2165	5125
297	2168	5107
298	2171	5091
299	2175	5076
300	2178	5059
301	2208	5103
302	2210	5085
303	2223	5091
304	2225	5071
305	2240	5080
306	2242	5061
307	2256	5068
308	2258	5051
309	2261	5033
310	2271	5031
311	2287	5044
312	2302	5054
313	2305	5036
314	2308	5019
315	2310	5002
316	2313	4985
317	2316	4968
318	2319	4952
319	2322	4936
320	2326	4920
321	2329	4904
322	2334	4892
323	2337	4877
324	2340	4861
325	2343	4845
326	2350	4836
327	2353	4821
328	2356	4805
329	2359	4789
330	2366	4782
331	2369	4767
332	2380	4768
333	2383	4753
334	2386	4736
335	2398	4738
336	2400	4723
337	2403	4706
338	2405	4690
339	2408	4675
340	2410	4659
341	2429	4674
342	2432	4659
343	2449	4671
344	2452	4655
345	2465	4660
346	2481	4670
347	2498	4681
348	2514	4690
349	2530	4698
350	2532	4683
351	2549	4692
352	2565	4702
353	2581	4711
354	2584	4696
355	2587	4680
356	2613	4707
357	2616	4692
358	2621	4679
359	2623	4664
360	2643	4679
361	2659	4687
362	2662	4673
363	2666	4658
364	2691	4682
365	2694	4667
366	2697	4653
367	2700	4638
368	2708	4632
369	2713	4620
370	2717	4606
371	2722	4595
372	2725	4580
373	2727	4565
374	2730	4551
375	2737	4543
376	2741	4529
377	2744	4515
378	2754	4512
379	2756	4497
380	2769	4499
381	2785	4506
382	2788	4492
383	2801	4494
384	2804	4480
385	2817	4482
386	2833	4487
387	2849	4494
388	2851	4479
389	2855	4465
390	2879	4485
391	2883	4472
392	2886	4457
393	2889	4444
394	2908	4454
395	2910	4439
396	2914	4426
397	2917	4412
398	2940	4429
399	2972	4458
400	2987	4463
401	2989	4447
402	3004	4450
403	3018	4453
404	3021	4438
405	3050	4463
406	3053	4448
407	3056	4434
408	3058	4420
409	3066	4412
410	3081	4416
411	3096	4419
412	3099	4405
413	3112	4404
414	3114	4390
415	3117	4376
416	3127	4372
417	3159	4398
418	3175	4403
419	3190	4405
420	3193	4391
421	3205	4390
422	3208	4376
423	3211	4362
424	3220	4357
425	3223	4343
426	3235	4342
427	3251	4345
428	3266	4348
429	3269	4334
430	3272	4320
431	3275	4306
432	3278	4292
433	3280	4278
434	3296	4281
435	3312	4284
436	3345	4309
437	3358	4309
438	3361	4295
439	3364	4281
440	3374	4276
441	3376	4263
442	3379	4249
443	3389	4245
444	3404	4246
445	3407	4232
446	3410	4219
447	3413	4206
448	3416	4192
449	3419	4178
450	3435	4181
451	3450	4183
452	3453	4169
453	3455	4156
454	3466	4151
455	3468	4138
456	3481	4136
457	3496	4138
458	3499	4124
459	3502	4111
460	3505	4098
461	3512	4090
462	3515	4077
463	3518	4064
464	3524	4054
465	3527	4042
466	3540	4040
467	3556	4042
468	3558	4029
469	3572	4028
470	3575	4015
471	3587	4012
472	3602	4014
473	3635	4034
474	3638	4021
475	3650	4018
476	3653	4006
477	3664	4002
478	3667	3989
479	3679	3986
480	3682	3973
481	3710	3987
482	3713	3974
483	3716	3962
484	3727	3957
485	3730	3945
486	3733	3932
487	3736	3920
488	3739	3907
489	3790	3945
490	3794	3933
491	3797	3920
492	3805	3914
493	3828	3921
494	3831	3908
495	3835	3897
496	3838	3885
497	3857	3888
498	3873	3889
499	3889	3889
500	3892	3876
501	3904	3873
502	3907	3860
